Tabela 2.1 - Rendimento domiciliar per capita médio e mediano, por sexo e cor ou raça, segundo as Grandes Regiões, as Unidades da Federação e os Municípios das Capitais - Brasil - 2020;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Grandes Regiões, Unidades da Federação e Municípios das Capitais;Rendimento domiciliar per capita das pessoas (R$);;;;;;;;;;;;;;;;;;;;;
;Total;;Sexo;;;;Cor ou raça ;;;;;;;;Sexo e cor ou raça;;;;;;;
Roraima;  1 158 ;   672 ;  1 180 ;   669 ;  1 136 ;   673 ;  1 659 ;   920 ;  1 073 ;   645 ;  1 181 ;   737 ;  1 084 ;   659 ;  1 722 ;   841 ;  1 091 ;   654 ;  1 596 ;   940 ;  1 076 ;   661 
Boa Vista;  1 282 ;   729 ;  1 321 ;   736 ;  1 246 ;   719 ;  1 861 ;   954 ;  1 150 ;   677 ;  1 301 ;   810 ;  1 164 ;   688 ;  1 968 ;   932 ;  1 182 ;   695 ;  1 760 ;  1 025 ;  1 147 ;   679 
Pará;  1 048 ;   688 ;  1 068 ;   692 ;  1 028 ;   688 ;  1 465 ;   881 ;   959 ;   651 ;   979 ;   718 ;   961 ;   655 ;  1 453 ;   905 ;   989 ;   655 ;  1 475 ;   862 ;   934 ;   655 
Belém;  1 729 ;   952 ;  1 811 ;   985 ;  1 651 ;   919 ;  2 753 ;  1 282 ;  1 534 ;   918 ;  1 273 ;   743 ;  1 506 ;   908 ;  2 894 ;  1 517 ;  1 590 ;   934 ;  2 628 ;  1 231 ;  1 424 ;   862 
Amapá;  1 043 ;   660 ;  1 086 ;   708 ;  1 002 ;   642 ;  1 300 ;   739 ;   991 ;   642 ;  1 079 ;   819 ;   996 ;   647 ;  1 400 ;   855 ;  1 039 ;   676 ;  1 227 ;   700 ;   953 ;   604 
Macapá;  1 201 ;   747 ;  1 240 ;   794 ;  1 167 ;   736 ;  1 458 ;   861 ;  1 153 ;   737 ;  1 109 ;   820 ;  1 150 ;   738 ;  1 594 ;   884 ;  1 180 ;   768 ;  1 366 ;   771 ;  1 121 ;   709 
Tocantins;  1 242 ;   834 ;  1 264 ;   848 ;  1 219 ;   816 ;  1 776 ;  1 079 ;  1 125 ;   810 ;  1 092 ;   735 ;  1 120 ;   795 ;  1 864 ;  1 097 ;  1 127 ;   817 ;  1 689 ;  1 047 ;  1 114 ;   785 
Palmas;  1 936 ;  1 026 ;  1 988 ;  1 029 ;  1 886 ;  1 020 ;  2 716 ;  1 228 ;  1 629 ;   925 ;  1 803 ;  1 267 ;  1 654 ;   931 ;  2 816 ;  1 226 ;  1 694 ;   933 ;  2 624 ;  1 289 ;  1 615 ;   931 
Nordeste;  1 108 ;   684 ;  1 131 ;   687 ;  1 087 ;   677 ;  1 583 ;   844 ;   962 ;   653 ;   953 ;   686 ;   961 ;   655 ;  1 600 ;   841 ;   991 ;   658 ;  1 567 ;   848 ;   932 ;   653 
Maranhão;   818 ;   574 ;   824 ;   572 ;   812 ;   577 ;  1 137 ;   699 ;   747 ;   545 ;   792 ;   595 ;   753 ;   551 ;  1 154 ;   703 ;   759 ;   551 ;  1 121 ;   689 ;   746 ;   551 
São Luís;  1 174 ;   794 ;  1 186 ;   797 ;  1 163 ;   787 ;  1 595 ;   891 ;  1 057 ;   748 ;  1 138 ;   850 ;  1 071 ;   750 ;  1 616 ;   888 ;  1 079 ;   751 ;  1 575 ;   890 ;  1 064 ;   750 
Piauí;  1 040 ;   707 ;  1 045 ;   706 ;  1 034 ;   709 ;  1 355 ;   884 ;   967 ;   670 ;   976 ;   788 ;   968 ;   680 ;  1 372 ;   887 ;   972 ;   676 ;  1 339 ;   876 ;   965 ;   681 
Teresina;  1 340 ;   875 ;  1 372 ;   876 ;  1 312 ;   871 ;  1 859 ;  1 295 ;  1 237 ;   810 ;  1 195 ;   915 ;  1 229 ;   829 ;  1 899 ;  1 297 ;  1 269 ;   857 ;  1 828 ;  1 294 ;  1 195 ;   814 
Ceará;  1 224 ;   706 ;  1 225 ;   706 ;  1 222 ;   706 ;  1 862 ;   947 ;  1 013 ;   657 ;   998 ;   697 ;  1 012 ;   659 ;  1 862 ;   942 ;  1 027 ;   663 ;  1 863 ;   965 ;   997 ;   654 
Fortaleza;  2 102 ;  1 135 ;  2 121 ;  1 177 ;  2 084 ;  1 104 ;  3 223 ;  1 641 ;  1 619 ;   961 ;  1 436 ;  1 054 ;  1 605 ;   968 ;  3 383 ;  1 524 ;  1 630 ;   988 ;  3 100 ;  1 651 ;  1 580 ;   961 
Rio Grande do Norte;  1 299 ;   796 ;  1 290 ;   817 ;  1 309 ;   785 ;  1 607 ;   974 ;  1 117 ;   711 ;  1 065 ;   732 ;  1 111 ;   712 ;  1 551 ;   968 ;  1 139 ;   749 ;  1 657 ;   978 ;  1 083 ;   687 
Natal;  1 896 ;  1 168 ;  1 855 ;  1 140 ;  1 936 ;  1 175 ;  2 219 ;  1 221 ;  1 641 ;  1 068 ;  1 845 ;  1 131 ;  1 665 ;  1 081 ;  2 040 ;  1 121 ;  1 736 ;  1 185 ;  2 371 ;  1 257 ;  1 590 ;  1 016 
Paraíba;  1 071 ;   674 ;  1 104 ;   676 ;  1 039 ;   672 ;  1 303 ;   765 ;   960 ;   645 ;   995 ;   681 ;   963 ;   651 ;  1 320 ;   809 ;  1 005 ;   653 ;  1 287 ;   754 ;   923 ;   645 
João Pessoa;  1 903 ;   937 ;  2 059 ;   954 ;  1 770 ;   935 ;  2 340 ;  1 082 ;  1 679 ;   887 ;  1 507 ;   751 ;  1 660 ;   870 ;  2 306 ;  1 081 ;  1 908 ;   893 ;  2 370 ;  1 104 ;  1 449 ;   848 
Pernambuco;  1 093 ;   669 ;  1 114 ;   685 ;  1 073 ;   666 ;  1 566 ;   843 ;   895 ;   636 ;   925 ;   699 ;   898 ;   640 ;  1 569 ;   847 ;   933 ;   649 ;  1 564 ;   843 ;   865 ;   637 
Recife;  2 001 ;  1 036 ;  2 026 ;  1 040 ;  1 977 ;  1 036 ;  3 134 ;  1 566 ;  1 368 ;   847 ;  1 199 ;   847 ;  1 336 ;   847 ;  3 140 ;  1 529 ;  1 421 ;   857 ;  3 129 ;  1 568 ;  1 256 ;   837 
Alagoas;   955 ;   641 ;   980 ;   641 ;   932 ;   641 ;  1 236 ;   684 ;   837 ;   621 ;  1 145 ;   657 ;   860 ;   628 ;  1 288 ;   692 ;   876 ;   611 ;  1 188 ;   674 ;   844 ;   629 
Maceió;  1 430 ;   788 ;  1 538 ;   811 ;  1 332 ;   765 ;  2 256 ;  1 113 ;  1 156 ;   744 ;  1 160 ;   778 ;  1 156 ;   746 ;  2 482 ;  1 118 ;  1 236 ;   751 ;  2 062 ;  1 014 ;  1 081 ;   736 
Sergipe;  1 224 ;   741 ;  1 232 ;   742 ;  1 217 ;   730 ;  1 827 ;   893 ;  1 098 ;   694 ;   999 ;   648 ;  1 087 ;   692 ;  1 814 ;   889 ;  1 097 ;   697 ;  1 840 ;   899 ;  1 077 ;   688 
Aracaju;  1 994 ;  1 071 ;  1 996 ;  1 088 ;  1 992 ;  1 056 ;  3 323 ;  1 584 ;  1 653 ;  1 020 ;  1 580 ;   867 ;  1 645 ;  1 017 ;  3 163 ;  1 364 ;  1 677 ;  1 030 ;  3 475 ;  1 824 ;  1 616 ;   994 
Bahia;  1 182 ;   716 ;  1 240 ;   735 ;  1 126 ;   705 ;  1 793 ;   873 ;  1 070 ;   691 ;   961 ;   689 ;  1 040 ;   691 ;  1 880 ;   855 ;  1 097 ;   701 ;  1 714 ;   874 ;   984 ;   680 
Salvador;  2 218 ;  1 168 ;  2 497 ;  1 194 ;  1 971 ;  1 141 ;  4 021 ;  2 401 ;  2 297 ;  1 259 ;  1 213 ;   772 ;  1 842 ;  1 021 ;  4 303 ;  2 374 ;  2 127 ;  1 034 ;  3 768 ;  2 381 ;  1 591 ;  1 017 
Sudeste;  2 005 ;  1 251 ;  2 057 ;  1 266 ;  1 957 ;  1 233 ;  2 582 ;  1 496 ;  1 377 ;  1 023 ;  1 336 ;  1 004 ;  1 369 ;  1 018 ;  2 634 ;  1 517 ;  1 438 ;  1 071 ;  2 534 ;  1 470 ;  1 302 ;   981 
Minas Gerais;  1 581 ;  1 113 ;  1 630 ;  1 152 ;  1 533 ;  1 073 ;  2 044 ;  1 293 ;  1 296 ;   984 ;  1 231 ;   967 ;  1 284 ;   981 ;  2 102 ;  1 317 ;  1 331 ;  1 017 ;  1 988 ;  1 291 ;  1 238 ;   943 
Belo Horizonte;  2 533 ;  1 440 ;  2 663 ;  1 481 ;  2 412 ;  1 416 ;  3 431 ;  1 946 ;  1 991 ;  1 266 ;  1 653 ;  1 176 ;  1 915 ;  1 245 ;  3 630 ;  2 008 ;  1 987 ;  1 265 ;  3 243 ;  1 919 ;  1 848 ;  1 233 
Espírito Santo;  1 657 ;  1 114 ;  1 690 ;  1 126 ;  1 625 ;  1 106 ;  2 185 ;  1 333 ;  1 357 ;   964 ;  1 207 ;   917 ;  1 333 ;   948 ;  2 238 ;  1 361 ;  1 357 ;   979 ;  2 134 ;  1 321 ;  1 310 ;   930 
Vitória;  3 673 ;  2 177 ;  3 861 ;  2 195 ;  3 502 ;  2 145 ;  5 096 ;  4 189 ;  2 297 ;  1 294 ;  1 699 ;  1 068 ;  2 182 ;  1 284 ;  5 420 ;  4 426 ;  2 318 ;  1 325 ;  4 813 ;  3 771 ;  2 052 ;  1 262 
Rio de Janeiro;  2 034 ;  1 202 ;  2 060 ;  1 229 ;  2 010 ;  1 147 ;  2 788 ;  1 481 ;  1 448 ;   983 ;  1 284 ;   940 ;  1 408 ;   976 ;  2 783 ;  1 475 ;  1 479 ;  1 023 ;  2 793 ;  1 502 ;  1 343 ;   920 
Rio de Janeiro;  2 929 ;  1 541 ;  3 004 ;  1 567 ;  2 864 ;  1 532 ;  3 793 ;  2 151 ;  2 033 ;  1 266 ;  1 608 ;  1 143 ;  1 929 ;  1 234 ;  3 868 ;  2 150 ;  2 029 ;  1 318 ;  3 730 ;  2 161 ;  1 839 ;  1 172 
São Paulo;  2 220 ;  1 317 ;  2 289 ;  1 368 ;  2 156 ;  1 307 ;  2 709 ;  1 564 ;  1 404 ;  1 087 ;  1 459 ;  1 099 ;  1 414 ;  1 088 ;  2 783 ;  1 585 ;  1 505 ;  1 127 ;  2 641 ;  1 533 ;  1 325 ;  1 046 
São Paulo;  3 014 ;  1 461 ;  3 109 ;  1 506 ;  2 928 ;  1 407 ;  3 992 ;  1 879 ;  1 465 ;  1 095 ;  1 529 ;  1 058 ;  1 479 ;  1 091 ;  4 146 ;  1 945 ;  1 582 ;  1 127 ;  3 854 ;  1 841 ;  1 382 ;  1 036 
Sul;  1 984 ;  1 367 ;  2 035 ;  1 403 ;  1 934 ;  1 334 ;  2 171 ;  1 494 ;  1 387 ;  1 099 ;  1 427 ;  1 110 ;  1 394 ;  1 100 ;  2 232 ;  1 520 ;  1 440 ;  1 132 ;  2 112 ;  1 476 ;  1 345 ;  1 067 
Paraná;  1 867 ;  1 305 ;  1 919 ;  1 328 ;  1 816 ;  1 281 ;  2 113 ;  1 411 ;  1 380 ;  1 084 ;  1 390 ;  1 129 ;  1 381 ;  1 089 ;  2 171 ;  1 435 ;  1 433 ;  1 128 ;  2 057 ;  1 382 ;  1 327 ;  1 049 
Curitiba;  2 918 ;  1 798 ;  2 997 ;  1 851 ;  2 842 ;  1 765 ;  3 234 ;  2 003 ;  1 748 ;  1 305 ;  1 704 ;  1 443 ;  1 741 ;  1 317 ;  3 299 ;  2 075 ;  1 886 ;  1 426 ;  3 172 ;  1 918 ;  1 599 ;  1 267 
Santa Catarina;  1 991 ;  1 498 ;  2 035 ;  1 530 ;  1 947 ;  1 456 ;  2 089 ;  1 560 ;  1 492 ;  1 231 ;  1 579 ;  1 301 ;  1 506 ;  1 248 ;  2 129 ;  1 591 ;  1 594 ;  1 259 ;  2 050 ;  1 534 ;  1 412 ;  1 196 
Florianópolis;  3 619 ;  2 287 ;  3 823 ;  2 336 ;  3 425 ;  2 198 ;  3 842 ;  2 369 ;  2 568 ;  1 809 ;  2 718 ;  1 526 ;  2 608 ;  1 781 ;  4 032 ;  2 488 ;  2 865 ;  1 885 ;  3 663 ;  2 289 ;  2 354 ;  1 523 
Rio Grande do Sul;  2 099 ;  1 399 ;  2 153 ;  1 420 ;  2 046 ;  1 384 ;  2 273 ;  1 509 ;  1 331 ;  1 047 ;  1 404 ;  1 000 ;  1 355 ;  1 031 ;  2 350 ;  1 537 ;  1 368 ;  1 045 ;  2 198 ;  1 485 ;  1 340 ;  1 016 
Porto Alegre;  3 368 ;  1 670 ;  3 478 ;  1 705 ;  3 256 ;  1 650 ;  3 990 ;  2 186 ;  1 450 ;  1 050 ;  1 531 ;   991 ;  1 495 ;  1 014 ;  4 181 ;  2 259 ;  1 450 ;   990 ;  3 797 ;  2 103 ;  1 540 ;  1 030 
Centro-Oeste;  1 856 ;  1 212 ;  1 896 ;  1 236 ;  1 818 ;  1 178 ;  2 410 ;  1 393 ;  1 523 ;  1 081 ;  1 596 ;  1 153 ;  1 532 ;  1 083 ;  2 467 ;  1 433 ;  1 576 ;  1 115 ;  2 357 ;  1 355 ;  1 488 ;  1 049 
Mato Grosso do Sul;  1 787 ;  1 240 ;  1 823 ;  1 271 ;  1 751 ;  1 215 ;  2 235 ;  1 374 ;  1 396 ;  1 073 ;  1 553 ;  1 163 ;  1 413 ;  1 085 ;  2 313 ;  1 443 ;  1 434 ;  1 097 ;  2 162 ;  1 331 ;  1 392 ;  1 068 
Campo Grande;  2 124 ;  1 325 ;  2 200 ;  1 361 ;  2 051 ;  1 282 ;  2 744 ;  1 629 ;  1 555 ;  1 193 ;  1 678 ;  1 216 ;  1 572 ;  1 193 ;  2 905 ;  1 682 ;  1 593 ;  1 211 ;  2 591 ;  1 531 ;  1 551 ;  1 187 
Mato Grosso;  1 659 ;  1 179 ;  1 699 ;  1 212 ;  1 619 ;  1 146 ;  2 259 ;  1 450 ;  1 404 ;  1 044 ;  1 379 ;  1 070 ;  1 401 ;  1 046 ;  2 282 ;  1 442 ;  1 454 ;  1 083 ;  2 237 ;  1 452 ;  1 345 ;  1 024 
Cuiabá;  2 241 ;  1 116 ;  2 383 ;  1 126 ;  2 107 ;  1 086 ;  4 379 ;  2 228 ;  1 696 ;   933 ;  1 449 ;   942 ;  1 651 ;   933 ;  5 077 ;  2 222 ;  1 688 ;   960 ;  3 787 ;  2 226 ;  1 616 ;   904 
Goiás;  1 519 ;  1 111 ;  1 559 ;  1 144 ;  1 479 ;  1 078 ;  1 811 ;  1 258 ;  1 355 ;  1 034 ;  1 384 ;  1 019 ;  1 358 ;  1 032 ;  1 898 ;  1 278 ;  1 385 ;  1 073 ;  1 733 ;  1 233 ;  1 331 ;   995 
Goiânia;  1 883 ;  1 267 ;  1 939 ;  1 289 ;  1 831 ;  1 246 ;  2 195 ;  1 302 ;  1 662 ;  1 211 ;  1 635 ;  1 396 ;  1 659 ;  1 236 ;  2 265 ;  1 358 ;  1 711 ;  1 259 ;  2 133 ;  1 299 ;  1 610 ;  1 204 
Distrito Federal;  2 930 ;  1 537 ;  3 005 ;  1 555 ;  2 861 ;  1 492 ;  3 961 ;  2 315 ;  2 236 ;  1 268 ;  2 281 ;  1 308 ;  2 243 ;  1 269 ;  3 964 ;  2 166 ;  2 374 ;  1 307 ;  3 958 ;  2 420 ;  2 121 ;  1 244 
Brasília;  2 930 ;  1 537 ;  3 005 ;  1 555 ;  2 861 ;  1 492 ;  3 961 ;  2 315 ;  2 236 ;  1 268 ;  2 281 ;  1 308 ;  2 243 ;  1 269 ;  3 964 ;  2 166 ;  2 374 ;  1 307 ;  3 958 ;  2 420 ;  2 121 ;  1 244 
;;;;;;;;;;;;;;;;;;;;;;
Fonte: IBGE. Pesquisa Nacional por Amostra de Domicílios Contínua, 2020, acumulado de quintas visitas.;;;;;;;;;;;;;;;;;;;;;;
Notas: Exclusive as pessoas cuja condição no arranjo domiciliar era pensionista, empregado doméstico ou parente do empregado doméstico.;;;;;;;;;;;;;;;;;;;;;;
Rendimentos deflacionados para reais médios de 2023.;;;;;;;;;;;;;;;;;;;;;;
