Tabela 2.1 - Rendimento domiciliar per capita médio e mediano, por sexo e cor ou raça, segundo as Grandes Regiões, as Unidades da Federação e os Municípios das Capitais - Brasil - 2022;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Grandes Regiões, Unidades da Federação e Municípios das Capitais;Rendimento domiciliar per capita das pessoas (R$);;;;;;;;;;;;;;;;;;;;;
;Total;;Sexo;;;;Cor ou raça ;;;;;;;;Sexo e cor ou raça;;;;;;;
Roraima;  1 304 ;   730 ;  1 364 ;   760 ;  1 243 ;   705 ;  1 772 ;   951 ;  1 210 ;   670 ;  1 034 ;   751 ;  1 190 ;   683 ;  1 835 ;   952 ;  1 255 ;   709 ;  1 710 ;   951 ;  1 125 ;   649 
Boa Vista;  1 500 ;   831 ;  1 585 ;   842 ;  1 418 ;   799 ;  2 050 ;  1 090 ;  1 380 ;   728 ;  1 070 ;   751 ;  1 348 ;   730 ;  2 155 ;  1 149 ;  1 428 ;   767 ;  1 948 ;  1 013 ;  1 272 ;   711 
Pará;  1 113 ;   694 ;  1 127 ;   703 ;  1 098 ;   684 ;  1 597 ;   857 ;   987 ;   652 ;  1 100 ;   801 ;  1 000 ;   672 ;  1 565 ;   841 ;  1 031 ;   690 ;  1 627 ;   865 ;   968 ;   652 
Belém;  2 032 ;  1 041 ;  2 078 ;  1 046 ;  1 991 ;  1 026 ;  2 781 ;  1 292 ;  1 777 ;   934 ;  1 690 ;  1 013 ;  1 762 ;   940 ;  2 598 ;  1 261 ;  1 896 ;   992 ;  2 947 ;  1 341 ;  1 639 ;   889 
Amapá;  1 218 ;   691 ;  1 259 ;   693 ;  1 177 ;   684 ;  1 773 ;   920 ;  1 097 ;   647 ;  1 092 ;   752 ;  1 096 ;   651 ;  1 921 ;   962 ;  1 137 ;   654 ;  1 664 ;   862 ;  1 052 ;   647 
Macapá;  1 489 ;   790 ;  1 575 ;   785 ;  1 408 ;   794 ;  2 060 ;  1 000 ;  1 355 ;   746 ;  1 160 ;   808 ;  1 335 ;   751 ;  2 263 ;  1 102 ;  1 417 ;   749 ;  1 910 ;   990 ;  1 252 ;   749 
Tocantins;  1 422 ;   899 ;  1 515 ;   933 ;  1 324 ;   867 ;  2 073 ;  1 158 ;  1 269 ;   856 ;  1 220 ;   845 ;  1 262 ;   855 ;  2 332 ;  1 149 ;  1 322 ;   884 ;  1 821 ;  1 166 ;  1 198 ;   839 
Palmas;  2 182 ;  1 310 ;  2 332 ;  1 355 ;  2 016 ;  1 279 ;  2 593 ;  1 711 ;  1 915 ;  1 256 ;  2 729 ;  1 245 ;  2 028 ;  1 247 ;  2 664 ;  1 573 ;  2 227 ;  1 316 ;  2 527 ;  1 752 ;  1 791 ;  1 116 
Nordeste;  1 054 ;   651 ;  1 071 ;   658 ;  1 038 ;   645 ;  1 405 ;   806 ;   934 ;   626 ;   950 ;   651 ;   937 ;   627 ;  1 421 ;   799 ;   958 ;   630 ;  1 392 ;   819 ;   916 ;   625 
Maranhão;   858 ;   590 ;   872 ;   596 ;   846 ;   582 ;  1 216 ;   748 ;   775 ;   548 ;   814 ;   617 ;   781 ;   554 ;  1 207 ;   742 ;   802 ;   563 ;  1 224 ;   757 ;   762 ;   549 
São Luís;  1 334 ;   855 ;  1 372 ;   858 ;  1 303 ;   850 ;  1 801 ;  1 054 ;  1 234 ;   835 ;  1 112 ;   765 ;  1 206 ;   821 ;  1 751 ;   977 ;  1 265 ;   845 ;  1 843 ;  1 178 ;  1 157 ;   786 
Piauí;  1 139 ;   691 ;  1 134 ;   692 ;  1 144 ;   690 ;  1 540 ;   896 ;  1 018 ;   633 ;  1 057 ;   727 ;  1 023 ;   648 ;  1 482 ;   869 ;  1 038 ;   666 ;  1 592 ;   935 ;  1 008 ;   630 
Teresina;  1 733 ;  1 053 ;  1 755 ;  1 068 ;  1 713 ;  1 043 ;  2 440 ;  1 418 ;  1 573 ;  1 036 ;  1 291 ;   902 ;  1 514 ;   975 ;  2 513 ;  1 450 ;  1 535 ;  1 028 ;  2 378 ;  1 403 ;  1 495 ;   938 
Ceará;  1 082 ;   660 ;  1 067 ;   661 ;  1 096 ;   658 ;  1 505 ;   837 ;   892 ;   627 ;  1 199 ;   735 ;   919 ;   630 ;  1 503 ;   835 ;   906 ;   632 ;  1 507 ;   838 ;   932 ;   627 
Fortaleza;  1 750 ;   924 ;  1 702 ;   907 ;  1 792 ;   935 ;  2 547 ;  1 157 ;  1 305 ;   838 ;  2 133 ;  1 004 ;  1 389 ;   851 ;  2 486 ;  1 098 ;  1 334 ;   854 ;  2 603 ;  1 243 ;  1 435 ;   849 
Rio Grande do Norte;  1 288 ;   765 ;  1 330 ;   773 ;  1 248 ;   751 ;  1 584 ;   877 ;  1 080 ;   702 ;  1 233 ;   779 ;  1 099 ;   711 ;  1 638 ;   880 ;  1 138 ;   725 ;  1 533 ;   867 ;  1 061 ;   702 
Natal;  2 268 ;  1 238 ;  2 465 ;  1 249 ;  2 091 ;  1 227 ;  2 738 ;  1 415 ;  1 838 ;  1 061 ;  2 083 ;   934 ;  1 866 ;  1 030 ;  2 962 ;  1 522 ;  2 049 ;  1 070 ;  2 539 ;  1 372 ;  1 698 ;   998 
Paraíba;  1 133 ;   630 ;  1 155 ;   631 ;  1 112 ;   629 ;  1 305 ;   778 ;  1 082 ;   622 ;   825 ;   582 ;  1 049 ;   619 ;  1 330 ;   769 ;  1 070 ;   625 ;  1 282 ;   784 ;  1 029 ;   599 
João Pessoa;  1 570 ;   822 ;  1 594 ;   821 ;  1 547 ;   822 ;  2 189 ;  1 246 ;  1 285 ;   698 ;   929 ;   509 ;  1 210 ;   657 ;  2 122 ;  1 188 ;  1 285 ;   665 ;  2 249 ;  1 250 ;  1 142 ;   642 
Pernambuco;  1 032 ;   649 ;  1 073 ;   671 ;   995 ;   638 ;  1 273 ;   749 ;   916 ;   626 ;   977 ;   698 ;   923 ;   628 ;  1 325 ;   754 ;   965 ;   631 ;  1 227 ;   745 ;   884 ;   625 
Recife;  1 617 ;   865 ;  1 714 ;   881 ;  1 529 ;   856 ;  2 103 ;  1 042 ;  1 401 ;   802 ;  1 184 ;   842 ;  1 361 ;   810 ;  2 168 ;  1 101 ;  1 486 ;   829 ;  2 047 ;  1 041 ;  1 246 ;   782 
Alagoas;   961 ;   627 ;   974 ;   628 ;   950 ;   625 ;  1 214 ;   725 ;   874 ;   621 ;   808 ;   623 ;   867 ;   622 ;  1 142 ;   689 ;   911 ;   625 ;  1 280 ;   774 ;   825 ;   593 
Maceió;  1 394 ;   834 ;  1 430 ;   834 ;  1 360 ;   834 ;  1 841 ;  1 038 ;  1 246 ;   756 ;   888 ;   629 ;  1 198 ;   727 ;  1 744 ;  1 004 ;  1 299 ;   775 ;  1 928 ;  1 048 ;  1 104 ;   694 
Sergipe;  1 201 ;   732 ;  1 232 ;   754 ;  1 172 ;   722 ;  1 571 ;   837 ;  1 077 ;   677 ;  1 027 ;   689 ;  1 069 ;   678 ;  1 546 ;   865 ;  1 117 ;   710 ;  1 592 ;   832 ;  1 022 ;   652 
Aracaju;  2 092 ;  1 233 ;  2 189 ;  1 255 ;  2 004 ;  1 195 ;  2 712 ;  1 419 ;  1 902 ;  1 245 ;  1 350 ;   795 ;  1 782 ;  1 016 ;  2 765 ;  1 418 ;  1 910 ;  1 074 ;  2 675 ;  1 419 ;  1 654 ;   965 
Bahia;  1 047 ;   658 ;  1 066 ;   669 ;  1 029 ;   653 ;  1 494 ;   836 ;   962 ;   630 ;   922 ;   651 ;   951 ;   632 ;  1 530 ;   817 ;   970 ;   650 ;  1 463 ;   844 ;   933 ;   630 
Salvador;  1 566 ;   894 ;  1 638 ;   939 ;  1 503 ;   884 ;  2 874 ;  1 859 ;  1 509 ;   886 ;  1 166 ;   789 ;  1 362 ;   837 ;  3 081 ;  1 973 ;  1 424 ;   871 ;  2 706 ;  1 724 ;  1 307 ;   833 
Sudeste;  1 982 ;  1 259 ;  2 021 ;  1 266 ;  1 944 ;  1 252 ;  2 489 ;  1 490 ;  1 416 ;  1 037 ;  1 413 ;  1 015 ;  1 415 ;  1 035 ;  2 550 ;  1 518 ;  1 471 ;  1 057 ;  2 433 ;  1 460 ;  1 360 ;   999 
Minas Gerais;  1 567 ;  1 110 ;  1 591 ;  1 122 ;  1 544 ;  1 089 ;  1 974 ;  1 268 ;  1 297 ;   960 ;  1 242 ;   959 ;  1 287 ;   959 ;  1 994 ;  1 278 ;  1 321 ;   986 ;  1 955 ;  1 265 ;  1 252 ;   939 
Belo Horizonte;  2 488 ;  1 397 ;  2 509 ;  1 403 ;  2 468 ;  1 390 ;  3 416 ;  2 074 ;  1 885 ;  1 216 ;  1 680 ;  1 209 ;  1 834 ;  1 216 ;  3 483 ;  2 085 ;  1 838 ;  1 216 ;  3 355 ;  1 983 ;  1 830 ;  1 216 
Espírito Santo;  1 744 ;  1 157 ;  1 788 ;  1 166 ;  1 701 ;  1 150 ;  2 330 ;  1 377 ;  1 401 ;   979 ;  1 314 ;  1 048 ;  1 384 ;   997 ;  2 362 ;  1 373 ;  1 440 ;  1 017 ;  2 300 ;  1 390 ;  1 328 ;   982 
Vitória;  3 287 ;  1 711 ;  3 480 ;  1 711 ;  3 102 ;  1 711 ;  4 534 ;  2 899 ;  2 499 ;  1 366 ;  1 646 ;  1 075 ;  2 275 ;  1 261 ;  4 753 ;  3 021 ;  2 480 ;  1 361 ;  4 335 ;  2 857 ;  2 071 ;  1 178 
Rio de Janeiro;  2 009 ;  1 207 ;  2 040 ;  1 240 ;  1 981 ;  1 188 ;  2 699 ;  1 456 ;  1 471 ;   990 ;  1 327 ;   931 ;  1 428 ;   966 ;  2 747 ;  1 499 ;  1 480 ;   996 ;  2 659 ;  1 444 ;  1 379 ;   941 
Rio de Janeiro;  2 877 ;  1 570 ;  2 911 ;  1 625 ;  2 847 ;  1 548 ;  3 754 ;  2 095 ;  1 986 ;  1 254 ;  1 907 ;  1 144 ;  1 963 ;  1 242 ;  3 793 ;  2 106 ;  2 051 ;  1 299 ;  3 721 ;  2 092 ;  1 881 ;  1 200 
São Paulo;  2 183 ;  1 373 ;  2 239 ;  1 403 ;  2 130 ;  1 347 ;  2 600 ;  1 581 ;  1 475 ;  1 086 ;  1 610 ;  1 156 ;  1 501 ;  1 102 ;  2 688 ;  1 619 ;  1 574 ;  1 156 ;  2 520 ;  1 566 ;  1 428 ;  1 050 
São Paulo;  3 124 ;  1 610 ;  3 248 ;  1 670 ;  3 012 ;  1 567 ;  4 039 ;  2 160 ;  1 677 ;  1 123 ;  1 808 ;  1 362 ;  1 705 ;  1 187 ;  4 300 ;  2 244 ;  1 801 ;  1 218 ;  3 814 ;  2 112 ;  1 611 ;  1 140 
Sul;  2 006 ;  1 351 ;  2 055 ;  1 382 ;  1 959 ;  1 324 ;  2 205 ;  1 494 ;  1 422 ;  1 101 ;  1 426 ;  1 144 ;  1 423 ;  1 108 ;  2 251 ;  1 526 ;  1 494 ;  1 142 ;  2 159 ;  1 460 ;  1 350 ;  1 074 
Paraná;  1 873 ;  1 252 ;  1 929 ;  1 259 ;  1 818 ;  1 249 ;  2 115 ;  1 356 ;  1 379 ;  1 064 ;  1 466 ;  1 156 ;  1 390 ;  1 082 ;  2 164 ;  1 367 ;  1 471 ;  1 106 ;  2 068 ;  1 348 ;  1 307 ;  1 060 
Curitiba;  2 939 ;  1 824 ;  3 098 ;  1 855 ;  2 794 ;  1 794 ;  3 168 ;  2 041 ;  2 023 ;  1 287 ;  1 923 ;  1 407 ;  2 006 ;  1 304 ;  3 275 ;  2 050 ;  2 385 ;  1 449 ;  3 077 ;  2 034 ;  1 599 ;  1 175 
Santa Catarina;  2 039 ;  1 492 ;  2 088 ;  1 540 ;  1 989 ;  1 451 ;  2 180 ;  1 577 ;  1 486 ;  1 234 ;  1 550 ;  1 281 ;  1 496 ;  1 241 ;  2 226 ;  1 613 ;  1 574 ;  1 257 ;  2 134 ;  1 552 ;  1 414 ;  1 194 
Florianópolis;  3 515 ;  2 489 ;  3 631 ;  2 528 ;  3 404 ;  2 340 ;  3 835 ;  2 751 ;  2 153 ;  1 495 ;  1 830 ;  1 283 ;  2 047 ;  1 303 ;  3 927 ;  2 803 ;  2 266 ;  1 421 ;  3 745 ;  2 724 ;  1 850 ;  1 299 
Rio Grande do Sul;  2 121 ;  1 407 ;  2 162 ;  1 448 ;  2 081 ;  1 372 ;  2 293 ;  1 549 ;  1 468 ;  1 091 ;  1 352 ;  1 038 ;  1 434 ;  1 071 ;  2 339 ;  1 558 ;  1 481 ;  1 123 ;  2 249 ;  1 498 ;  1 387 ;  1 038 
Porto Alegre;  3 417 ;  1 954 ;  3 403 ;  1 948 ;  3 429 ;  1 982 ;  3 935 ;  2 533 ;  1 635 ;  1 115 ;  1 514 ;  1 042 ;  1 577 ;  1 117 ;  3 970 ;  2 489 ;  1 489 ;  1 080 ;  3 904 ;  2 541 ;  1 662 ;  1 135 
Centro-Oeste;  1 935 ;  1 249 ;  2 015 ;  1 263 ;  1 857 ;  1 216 ;  2 476 ;  1 446 ;  1 617 ;  1 121 ;  1 622 ;  1 163 ;  1 618 ;  1 126 ;  2 554 ;  1 478 ;  1 715 ;  1 205 ;  2 404 ;  1 424 ;  1 520 ;  1 062 
Mato Grosso do Sul;  1 868 ;  1 238 ;  1 960 ;  1 256 ;  1 779 ;  1 174 ;  2 337 ;  1 435 ;  1 496 ;  1 078 ;  1 459 ;  1 120 ;  1 491 ;  1 087 ;  2 405 ;  1 470 ;  1 615 ;  1 135 ;  2 275 ;  1 381 ;  1 368 ;  1 033 
Campo Grande;  2 279 ;  1 363 ;  2 384 ;  1 446 ;  2 184 ;  1 292 ;  2 796 ;  1 556 ;  1 854 ;  1 238 ;  1 566 ;  1 133 ;  1 814 ;  1 234 ;  2 855 ;  1 653 ;  2 015 ;  1 298 ;  2 747 ;  1 541 ;  1 611 ;  1 160 
Mato Grosso;  1 692 ;  1 236 ;  1 776 ;  1 256 ;  1 607 ;  1 181 ;  2 143 ;  1 480 ;  1 504 ;  1 103 ;  1 465 ;  1 147 ;  1 498 ;  1 112 ;  2 246 ;  1 546 ;  1 582 ;  1 167 ;  2 048 ;  1 444 ;  1 410 ;  1 061 
Cuiabá;  1 875 ;  1 236 ;  1 970 ;  1 260 ;  1 780 ;  1 175 ;  2 792 ;  1 746 ;  1 572 ;  1 072 ;  1 557 ;  1 182 ;  1 570 ;  1 087 ;  2 843 ;  1 880 ;  1 689 ;  1 113 ;  2 747 ;  1 621 ;  1 446 ;  1 061 
Goiás;  1 645 ;  1 170 ;  1 710 ;  1 231 ;  1 582 ;  1 133 ;  1 986 ;  1 276 ;  1 451 ;  1 081 ;  1 371 ;  1 041 ;  1 440 ;  1 076 ;  2 071 ;  1 284 ;  1 507 ;  1 139 ;  1 907 ;  1 262 ;  1 372 ;  1 029 
Goiânia;  2 375 ;  1 449 ;  2 474 ;  1 514 ;  2 281 ;  1 415 ;  2 702 ;  1 674 ;  2 130 ;  1 373 ;  1 822 ;  1 423 ;  2 094 ;  1 379 ;  2 744 ;  1 683 ;  2 274 ;  1 445 ;  2 664 ;  1 660 ;  1 909 ;  1 293 
Distrito Federal;  2 947 ;  1 599 ;  3 072 ;  1 687 ;  2 829 ;  1 528 ;  4 046 ;  2 403 ;  2 306 ;  1 301 ;  2 224 ;  1 361 ;  2 289 ;  1 313 ;  4 170 ;  2 458 ;  2 463 ;  1 445 ;  3 940 ;  2 356 ;  2 117 ;  1 261 
Brasília;  2 947 ;  1 599 ;  3 072 ;  1 687 ;  2 829 ;  1 528 ;  4 046 ;  2 403 ;  2 306 ;  1 301 ;  2 224 ;  1 361 ;  2 289 ;  1 313 ;  4 170 ;  2 458 ;  2 463 ;  1 445 ;  3 940 ;  2 356 ;  2 117 ;  1 261 
;;;;;;;;;;;;;;;;;;;;;;
Fonte: IBGE. Pesquisa Nacional por Amostra de Domicílios Contínua, 2022, acumulado de quintas visitas.;;;;;;;;;;;;;;;;;;;;;;
Notas: Exclusive as pessoas cuja condição no arranjo domiciliar era pensionista, empregado doméstico ou parente do empregado doméstico.;;;;;;;;;;;;;;;;;;;;;;
Rendimentos deflacionados para reais médios de 2023.;;;;;;;;;;;;;;;;;;;;;;
