Tabela 2.1 - Rendimento domiciliar per capita médio e mediano, por sexo e cor ou raça, segundo as Grandes Regiões, as Unidades da Federação e os Municípios das Capitais - Brasil - 2021;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Grandes Regiões, Unidades da Federação e Municípios das Capitais;Rendimento domiciliar per capita das pessoas (R$);;;;;;;;;;;;;;;;;;;;;
;Total;;Sexo;;;;Cor ou raça ;;;;;;;;Sexo e cor ou raça;;;;;;;
Roraima;  1 160 ;   600 ;  1 195 ;   604 ;  1 126 ;   586 ;  2 089 ;   807 ;   954 ;   579 ;   808 ;   499 ;   941 ;   568 ;  2 198 ;   833 ;   959 ;   567 ;  1 985 ;   681 ;   924 ;   569 
Boa Vista;  1 330 ;   626 ;  1 371 ;   631 ;  1 292 ;   625 ;  2 368 ;   869 ;  1 042 ;   612 ;   817 ;   513 ;  1 024 ;   611 ;  2 499 ;   929 ;  1 034 ;   609 ;  2 243 ;   802 ;  1 014 ;   611 
Pará;   934 ;   588 ;   939 ;   599 ;   929 ;   580 ;  1 452 ;   775 ;   827 ;   554 ;   811 ;   558 ;   825 ;   554 ;  1 426 ;   781 ;   846 ;   561 ;  1 476 ;   769 ;   804 ;   542 
Belém;  1 703 ;   830 ;  1 700 ;   846 ;  1 705 ;   813 ;  2 879 ;  1 351 ;  1 303 ;   703 ;  1 293 ;   845 ;  1 302 ;   719 ;  2 893 ;  1 503 ;  1 323 ;   753 ;  2 868 ;  1 295 ;  1 284 ;   690 
Amapá;   953 ;   572 ;  1 017 ;   582 ;   894 ;   569 ;  1 370 ;   837 ;   853 ;   495 ;  1 145 ;   775 ;   878 ;   538 ;  1 436 ;   872 ;   945 ;   569 ;  1 313 ;   810 ;   815 ;   489 
Macapá;  1 200 ;   703 ;  1 296 ;   770 ;  1 110 ;   680 ;  1 739 ;  1 173 ;  1 076 ;   650 ;  1 253 ;   773 ;  1 094 ;   668 ;  1 914 ;  1 313 ;  1 188 ;   685 ;  1 601 ;   994 ;  1 002 ;   598 
Tocantins;  1 193 ;   740 ;  1 302 ;   802 ;  1 081 ;   693 ;  1 675 ;   896 ;  1 070 ;   703 ;  1 099 ;   806 ;  1 074 ;   716 ;  1 886 ;   993 ;  1 163 ;   759 ;  1 465 ;   787 ;   983 ;   691 
Palmas;  1 639 ;   918 ;  1 875 ;   995 ;  1 417 ;   739 ;  2 818 ;  1 294 ;  1 224 ;   694 ;  1 360 ;  1 009 ;  1 242 ;   725 ;  3 404 ;  1 295 ;  1 388 ;   941 ;  2 284 ;  1 292 ;  1 104 ;   681 
Nordeste;   969 ;   581 ;   996 ;   591 ;   944 ;   574 ;  1 339 ;   673 ;   846 ;   530 ;   844 ;   597 ;   846 ;   543 ;  1 348 ;   675 ;   884 ;   558 ;  1 331 ;   672 ;   809 ;   531 
Maranhão;   723 ;   447 ;   734 ;   452 ;   712 ;   445 ;  1 038 ;   608 ;   655 ;   422 ;   685 ;   469 ;   659 ;   429 ;  1 034 ;   619 ;   680 ;   433 ;  1 041 ;   602 ;   638 ;   421 
São Luís;  1 199 ;   729 ;  1 267 ;   794 ;  1 137 ;   679 ;  1 630 ;   925 ;  1 086 ;   679 ;  1 060 ;   759 ;  1 082 ;   680 ;  1 585 ;   912 ;  1 186 ;   752 ;  1 666 ;   951 ;   985 ;   647 
Piauí;   974 ;   644 ;  1 006 ;   644 ;   944 ;   642 ;  1 309 ;   798 ;   875 ;   599 ;  1 021 ;   710 ;   890 ;   611 ;  1 361 ;   800 ;   915 ;   621 ;  1 258 ;   777 ;   867 ;   601 
Teresina;  1 314 ;   914 ;  1 435 ;   945 ;  1 210 ;   887 ;  1 889 ;  1 173 ;  1 154 ;   848 ;  1 393 ;   963 ;  1 191 ;   869 ;  2 030 ;  1 145 ;  1 288 ;   889 ;  1 736 ;  1 304 ;  1 111 ;   838 
Ceará;  1 029 ;   623 ;  1 023 ;   633 ;  1 034 ;   608 ;  1 328 ;   741 ;   924 ;   581 ;   888 ;   638 ;   921 ;   590 ;  1 265 ;   762 ;   945 ;   599 ;  1 382 ;   718 ;   899 ;   572 
Fortaleza;  1 611 ;   853 ;  1 591 ;   888 ;  1 629 ;   834 ;  2 247 ;  1 106 ;  1 377 ;   757 ;  1 126 ;   853 ;  1 356 ;   774 ;  2 121 ;  1 198 ;  1 416 ;   806 ;  2 341 ;  1 003 ;  1 298 ;   744 
Rio Grande do Norte;  1 276 ;   657 ;  1 396 ;   658 ;  1 163 ;   655 ;  1 551 ;   806 ;  1 130 ;   592 ;   913 ;   576 ;  1 101 ;   591 ;  1 619 ;   791 ;  1 259 ;   609 ;  1 490 ;   811 ;   946 ;   570 
Natal;  1 974 ;  1 040 ;  2 001 ;  1 090 ;  1 951 ;   977 ;  2 597 ;  1 468 ;  1 467 ;   832 ;  1 274 ;   933 ;  1 441 ;   847 ;  2 540 ;  1 543 ;  1 507 ;   912 ;  2 648 ;  1 325 ;  1 389 ;   788 
Paraíba;  1 002 ;   599 ;  1 031 ;   609 ;   974 ;   594 ;  1 336 ;   658 ;   856 ;   564 ;   714 ;   556 ;   841 ;   560 ;  1 366 ;   649 ;   873 ;   572 ;  1 308 ;   686 ;   811 ;   534 
João Pessoa;  1 674 ;   773 ;  1 732 ;   770 ;  1 620 ;   780 ;  2 509 ;  1 230 ;  1 277 ;   715 ;   914 ;   562 ;  1 222 ;   700 ;  2 635 ;  1 277 ;  1 294 ;   705 ;  2 406 ;  1 224 ;  1 150 ;   699 
Pernambuco;   958 ;   551 ;   996 ;   565 ;   923 ;   533 ;  1 354 ;   632 ;   751 ;   493 ;   950 ;   607 ;   773 ;   508 ;  1 442 ;   663 ;   796 ;   515 ;  1 276 ;   618 ;   750 ;   496 
Recife;  1 665 ;   763 ;  1 771 ;   789 ;  1 569 ;   741 ;  2 332 ;   968 ;  1 182 ;   635 ;  1 445 ;   725 ;  1 230 ;   657 ;  2 460 ;   978 ;  1 294 ;   678 ;  2 214 ;   952 ;  1 172 ;   635 
Alagoas;   869 ;   547 ;   884 ;   553 ;   856 ;   542 ;  1 099 ;   611 ;   773 ;   507 ;   813 ;   598 ;   776 ;   518 ;  1 086 ;   594 ;   801 ;   532 ;  1 111 ;   628 ;   753 ;   506 
Maceió;  1 291 ;   742 ;  1 308 ;   744 ;  1 275 ;   721 ;  1 803 ;   942 ;  1 079 ;   705 ;  1 067 ;   814 ;  1 078 ;   714 ;  1 835 ;   942 ;  1 103 ;   739 ;  1 776 ;   941 ;  1 053 ;   667 
Sergipe;  1 059 ;   597 ;  1 110 ;   625 ;  1 012 ;   570 ;  1 576 ;   668 ;   915 ;   555 ;   911 ;   560 ;   914 ;   556 ;  1 615 ;   668 ;   971 ;   606 ;  1 541 ;   668 ;   861 ;   510 
Aracaju;  1 841 ;   826 ;  1 930 ;   834 ;  1 760 ;   800 ;  3 320 ;  1 376 ;  1 392 ;   715 ;  1 381 ;   740 ;  1 391 ;   732 ;  3 620 ;  1 315 ;  1 438 ;   731 ;  3 068 ;  1 377 ;  1 347 ;   722 
Bahia;   981 ;   602 ;  1 005 ;   603 ;   959 ;   599 ;  1 404 ;   664 ;   898 ;   570 ;   838 ;   614 ;   882 ;   588 ;  1 341 ;   659 ;   931 ;   593 ;  1 460 ;   688 ;   836 ;   576 
Salvador;  1 614 ;   888 ;  1 683 ;   903 ;  1 555 ;   860 ;  3 103 ;  2 024 ;  1 438 ;   810 ;  1 099 ;   825 ;  1 299 ;   815 ;  2 931 ;  2 045 ;  1 437 ;   855 ;  3 234 ;  1 993 ;  1 180 ;   771 
Sudeste;  1 891 ;  1 173 ;  1 949 ;  1 196 ;  1 837 ;  1 144 ;  2 455 ;  1 372 ;  1 271 ;   923 ;  1 247 ;   908 ;  1 267 ;   918 ;  2 530 ;  1 412 ;  1 333 ;   960 ;  2 387 ;  1 341 ;  1 202 ;   881 
Minas Gerais;  1 482 ;  1 005 ;  1 514 ;  1 043 ;  1 451 ;   972 ;  1 888 ;  1 226 ;  1 201 ;   863 ;  1 139 ;   835 ;  1 190 ;   859 ;  1 901 ;  1 233 ;  1 242 ;   897 ;  1 875 ;  1 207 ;  1 139 ;   839 
Belo Horizonte;  2 770 ;  1 518 ;  2 860 ;  1 597 ;  2 687 ;  1 468 ;  3 859 ;  2 236 ;  1 999 ;  1 262 ;  1 524 ;   939 ;  1 889 ;  1 224 ;  3 895 ;  2 325 ;  2 040 ;  1 245 ;  3 828 ;  2 084 ;  1 748 ;  1 184 
Espírito Santo;  1 472 ;   945 ;  1 523 ;   982 ;  1 422 ;   912 ;  1 985 ;  1 224 ;  1 197 ;   817 ;  1 148 ;   855 ;  1 187 ;   822 ;  1 996 ;  1 215 ;  1 263 ;   864 ;  1 974 ;  1 243 ;  1 114 ;   777 
Vitória;  3 177 ;  1 821 ;  3 284 ;  2 129 ;  3 079 ;  1 608 ;  4 319 ;  3 376 ;  2 394 ;  1 348 ;  1 530 ;   901 ;  2 185 ;  1 218 ;  4 326 ;  3 428 ;  2 377 ;  1 523 ;  4 312 ;  3 327 ;  2 009 ;   975 
Rio de Janeiro;  1 930 ;  1 098 ;  1 985 ;  1 109 ;  1 880 ;  1 068 ;  2 736 ;  1 431 ;  1 283 ;   851 ;  1 223 ;   867 ;  1 267 ;   851 ;  2 854 ;  1 474 ;  1 307 ;   880 ;  2 635 ;  1 376 ;  1 228 ;   826 
Rio de Janeiro;  2 734 ;  1 400 ;  2 829 ;  1 455 ;  2 649 ;  1 378 ;  3 699 ;  1 966 ;  1 692 ;  1 042 ;  1 617 ;  1 124 ;  1 673 ;  1 060 ;  3 879 ;  2 145 ;  1 739 ;  1 125 ;  3 547 ;  1 878 ;  1 610 ;  1 017 
São Paulo;  2 102 ;  1 270 ;  2 178 ;  1 296 ;  2 030 ;  1 240 ;  2 586 ;  1 464 ;  1 324 ;  1 000 ;  1 350 ;   987 ;  1 329 ;   998 ;  2 680 ;  1 510 ;  1 416 ;  1 055 ;  2 501 ;  1 420 ;  1 242 ;   953 
São Paulo;  2 876 ;  1 475 ;  2 937 ;  1 490 ;  2 820 ;  1 449 ;  3 803 ;  2 042 ;  1 447 ;   996 ;  1 497 ;   964 ;  1 457 ;   981 ;  3 881 ;  2 079 ;  1 539 ;  1 030 ;  3 734 ;  2 022 ;  1 380 ;   961 
Sul;  1 889 ;  1 297 ;  1 945 ;  1 321 ;  1 834 ;  1 277 ;  2 073 ;  1 414 ;  1 293 ;   963 ;  1 376 ;  1 109 ;  1 308 ;   987 ;  2 140 ;  1 443 ;  1 353 ;  1 042 ;  2 007 ;  1 390 ;  1 261 ;   951 
Paraná;  1 763 ;  1 207 ;  1 816 ;  1 212 ;  1 711 ;  1 201 ;  2 018 ;  1 334 ;  1 203 ;   899 ;  1 514 ;  1 178 ;  1 237 ;   917 ;  2 092 ;  1 353 ;  1 284 ;   955 ;  1 947 ;  1 314 ;  1 186 ;   889 
Curitiba;  2 572 ;  1 566 ;  2 637 ;  1 634 ;  2 511 ;  1 521 ;  2 748 ;  1 696 ;  1 720 ;  1 116 ;  2 181 ;  1 418 ;  1 788 ;  1 182 ;  2 902 ;  1 759 ;  1 693 ;  1 091 ;  2 608 ;  1 589 ;  1 897 ;  1 235 
Santa Catarina;  1 922 ;  1 401 ;  1 989 ;  1 420 ;  1 854 ;  1 365 ;  2 030 ;  1 481 ;  1 465 ;  1 121 ;  1 345 ;  1 203 ;  1 443 ;  1 159 ;  2 098 ;  1 495 ;  1 506 ;  1 190 ;  1 961 ;  1 462 ;  1 377 ;  1 110 
Florianópolis;  3 577 ;  2 106 ;  3 811 ;  2 157 ;  3 353 ;  2 066 ;  4 045 ;  2 673 ;  1 811 ;  1 012 ;  1 567 ;  1 148 ;  1 699 ;  1 169 ;  4 227 ;  2 669 ;  1 911 ;  1 133 ;  3 861 ;  2 682 ;  1 534 ;  1 168 
Rio Grande do Sul;  1 995 ;  1 349 ;  2 048 ;  1 376 ;  1 945 ;  1 324 ;  2 145 ;  1 459 ;  1 378 ;  1 057 ;  1 297 ;   986 ;  1 353 ;  1 034 ;  2 207 ;  1 488 ;  1 384 ;  1 097 ;  2 086 ;  1 431 ;  1 323 ;   995 
Porto Alegre;  3 088 ;  1 842 ;  3 316 ;  1 898 ;  2 897 ;  1 792 ;  3 583 ;  2 183 ;  1 705 ;  1 171 ;  1 597 ;  1 049 ;  1 660 ;  1 151 ;  3 798 ;  2 182 ;  1 763 ;  1 202 ;  3 395 ;  2 183 ;  1 581 ;  1 032 
Centro-Oeste;  1 750 ;  1 088 ;  1 802 ;  1 149 ;  1 699 ;  1 034 ;  2 284 ;  1 311 ;  1 464 ;   967 ;  1 415 ;   972 ;  1 457 ;   968 ;  2 333 ;  1 352 ;  1 515 ;  1 026 ;  2 237 ;  1 281 ;  1 400 ;   915 
Mato Grosso do Sul;  1 639 ;  1 077 ;  1 704 ;  1 121 ;  1 575 ;  1 031 ;  2 050 ;  1 281 ;  1 317 ;   939 ;  1 376 ;  1 082 ;  1 323 ;   954 ;  2 097 ;  1 301 ;  1 407 ;  1 010 ;  2 006 ;  1 252 ;  1 237 ;   906 
Campo Grande;  2 023 ;  1 181 ;  2 110 ;  1 232 ;  1 940 ;  1 090 ;  2 622 ;  1 446 ;  1 521 ;   968 ;  1 286 ;  1 067 ;  1 486 ;   972 ;  2 624 ;  1 445 ;  1 624 ;  1 036 ;  2 621 ;  1 436 ;  1 354 ;   941 
Mato Grosso;  1 507 ;  1 042 ;  1 563 ;  1 118 ;  1 450 ;   983 ;  1 877 ;  1 275 ;  1 355 ;   966 ;  1 265 ;   844 ;  1 343 ;   940 ;  1 918 ;  1 328 ;  1 398 ;  1 002 ;  1 833 ;  1 248 ;  1 286 ;   887 
Cuiabá;  1 768 ;  1 119 ;  1 799 ;  1 236 ;  1 736 ;   956 ;  2 325 ;  1 381 ;  1 523 ;   929 ;  1 492 ;   891 ;  1 516 ;   919 ;  2 128 ;  1 380 ;  1 596 ;  1 021 ;  2 568 ;  1 370 ;  1 444 ;   847 
Goiás;  1 441 ;  1 001 ;  1 472 ;  1 056 ;  1 411 ;   957 ;  1 788 ;  1 229 ;  1 280 ;   919 ;  1 233 ;  1 029 ;  1 274 ;   938 ;  1 805 ;  1 234 ;  1 321 ;   973 ;  1 773 ;  1 212 ;  1 228 ;   868 
Goiânia;  1 993 ;  1 241 ;  1 981 ;  1 258 ;  2 002 ;  1 235 ;  2 663 ;  1 492 ;  1 604 ;  1 109 ;  1 428 ;  1 237 ;  1 584 ;  1 119 ;  2 681 ;  1 481 ;  1 602 ;  1 169 ;  2 649 ;  1 509 ;  1 566 ;  1 036 
Distrito Federal;  2 844 ;  1 460 ;  2 965 ;  1 536 ;  2 733 ;  1 393 ;  3 862 ;  2 243 ;  2 245 ;  1 210 ;  1 912 ;  1 092 ;  2 186 ;  1 178 ;  4 027 ;  2 257 ;  2 276 ;  1 221 ;  3 713 ;  2 190 ;  2 100 ;  1 134 
Brasília;  2 844 ;  1 460 ;  2 965 ;  1 536 ;  2 733 ;  1 393 ;  3 862 ;  2 243 ;  2 245 ;  1 210 ;  1 912 ;  1 092 ;  2 186 ;  1 178 ;  4 027 ;  2 257 ;  2 276 ;  1 221 ;  3 713 ;  2 190 ;  2 100 ;  1 134 
;;;;;;;;;;;;;;;;;;;;;;
Fonte: IBGE. Pesquisa Nacional por Amostra de Domicílios Contínua, 2021, acumulado de quintas visitas.;;;;;;;;;;;;;;;;;;;;;;
Notas: Exclusive as pessoas cuja condição no arranjo domiciliar era pensionista, empregado doméstico ou parente do empregado doméstico.;;;;;;;;;;;;;;;;;;;;;;
Rendimentos deflacionados para reais médios de 2023.;;;;;;;;;;;;;;;;;;;;;;
